datetime,load
2018-09-22,13.028000000000008
2018-09-23,12.576000000000002
2018-09-24,13.629999999999999
2018-09-25,11.945000000000002
2018-09-26,12.003000000000002
2018-09-27,12.084000000000001
2018-09-28,12.185000000000008
2018-09-29,12.612999999999996
2018-09-30,12.450999999999997
2018-10-01,13.211000000000002
2018-10-02,13.253000000000005
2018-10-03,12.538999999999998
2018-10-04,12.553
2018-10-05,12.778999999999998
2018-10-06,13.472000000000003
2018-10-07,13.152000000000006
2018-10-08,13.541000000000004
2018-10-09,13.233
2018-10-10,13.106
2018-10-11,13.129000000000005
2018-10-12,13.245000000000005
2018-10-13,13.382000000000001
2018-10-14,13.425000000000002
2018-10-15,13.781000000000002
2018-10-16,13.786000000000001
2018-10-17,13.723000000000004
2018-10-18,14.062000000000006
2018-10-19,13.654999999999998
2018-10-20,13.854000000000003
2018-10-21,15.358000000000002
2018-10-22,14.154
2018-10-23,13.898000000000005
2018-10-24,13.758999999999999
2018-10-25,13.629
2018-10-26,14.403000000000004
2018-10-27,15.373000000000006
2018-10-28,15.844000000000001
2018-10-29,14.582000000000003
2018-10-30,14.187000000000001
2018-10-31,14.397000000000002
2018-11-01,16.498000000000005
2018-11-02,15.420000000000002
2018-11-03,15.133000000000001
2018-11-04,15.001000000000001
2018-11-05,14.973
2018-11-06,14.675000000000002
2018-11-07,15.472000000000003
2018-11-08,14.668
2018-11-09,15.462000000000003
2018-11-10,15.054000000000004
2018-11-11,14.871
2018-11-12,14.763
2018-11-13,14.756000000000002
2018-11-14,15.036999999999997
2018-11-15,15.143000000000002
2018-11-16,14.895000000000001
2018-11-17,15.119
2018-11-18,16.259999999999998
2018-11-19,16.005999999999997
2018-11-20,15.282
2018-11-21,15.456999999999999
2018-11-22,15.990000000000004
2018-11-23,16.102
2018-11-24,16.474999999999998
2018-11-25,16.215
2018-11-26,16.209999999999997
2018-11-27,16.783
2018-11-28,15.452999999999998
2018-11-29,15.468000000000002
2018-11-30,15.967000000000002
2018-12-01,16.124
2018-12-02,15.751
2018-12-03,15.999000000000002
2018-12-04,15.926
2018-12-05,15.680999999999997
2018-12-06,15.955999999999998
2018-12-07,15.640999999999998
2018-12-08,17.091
2018-12-09,15.514000000000001
2018-12-10,15.666000000000002
2018-12-11,15.422999999999998
2018-12-12,15.528
2018-12-13,16.242999999999995
2018-12-14,16.041999999999998
2018-12-15,15.822999999999997
2018-12-16,15.961000000000011
2018-12-17,15.989000000000004
2018-12-18,15.732999999999999
2018-12-19,16.016
2018-12-20,16.768
2018-12-21,14.217
2018-12-22,12.760000000000002
2018-12-23,12.456000000000005
2018-12-24,12.554999999999994
2018-12-25,12.053
2018-12-26,11.900999999999998
2018-12-27,11.895000000000007
2018-12-28,12.063000000000002
2018-12-29,12.012000000000002
2018-12-30,12.047000000000002
2018-12-31,12.373000000000003
2019-01-01,12.018
2019-01-02,12.042999999999997
2019-01-03,10.977
2019-01-04,11.515000000000004
2019-01-05,11.759000000000002
2019-01-06,12.483000000000008
2019-01-07,11.534999999999997
2019-01-08,11.585000000000004
2019-01-09,11.628
2019-01-10,12.259000000000002
2019-01-11,11.646999999999998
2019-01-12,11.541000000000007
2019-01-13,12.014000000000003
2019-01-14,11.694000000000004
2019-01-15,11.398
2019-01-16,11.516000000000007
2019-01-17,11.883000000000003
2019-01-18,12.530000000000003
2019-01-19,11.640000000000006
2019-01-20,11.808
2019-01-21,11.783000000000005
2019-01-22,11.311
2019-01-23,11.425000000000002
2019-01-24,11.226000000000004
2019-01-25,11.103000000000005
2019-01-26,11.205000000000002
2019-01-27,11.037999999999998
2019-01-28,11.469000000000007
2019-01-29,11.318000000000001
2019-01-30,11.320000000000004
2019-01-31,11.474
2019-02-01,11.282000000000002
2019-02-02,11.930000000000001
2019-02-03,11.120000000000005
2019-02-04,11.127000000000002
2019-02-05,11.114
2019-02-06,10.661
2019-02-07,10.695000000000004
2019-02-08,10.795000000000002
2019-02-09,10.862000000000007
2019-02-10,11.350999999999999
2019-02-11,10.807
2019-02-12,10.421999999999997
2019-02-13,10.353000000000002
2019-02-14,10.429000000000004
2019-02-15,10.310000000000006
2019-02-16,10.467000000000002
2019-02-17,10.388000000000002
2019-02-18,10.256000000000004
2019-02-19,10.213000000000003
2019-02-20,2.085
2019-03-07,5.741999999999999
2019-03-08,10.034000000000002
2019-03-09,9.508000000000001
2019-03-10,9.75
2019-03-11,10.472000000000003
2019-03-12,9.241999999999999
2019-03-13,9.429
2019-03-14,9.356
2019-03-15,9.212
2019-03-16,9.178000000000003
2019-03-17,9.363
2019-03-18,9.828000000000005
2019-03-19,9.460000000000004
2019-03-20,9.087
2019-03-21,8.903
2019-03-22,8.722000000000001
2019-03-23,8.869
2019-03-24,8.803
2019-03-25,9.176000000000004
2019-03-26,8.812999999999997
2019-03-27,8.681999999999999
2019-03-28,8.553000000000003
2019-03-29,8.546000000000001
2019-03-30,8.597000000000001
2019-03-31,8.543000000000003
2019-04-01,8.473
2019-04-02,8.497000000000003
2019-04-03,8.641
2019-04-04,8.403000000000002
2019-04-05,9.321999999999997
2019-04-06,8.55
2019-04-07,8.243999999999996
2019-04-08,8.82
2019-04-09,8.901999999999997
2019-04-10,8.84
2019-04-11,9.343000000000002
2019-04-12,8.654
2019-04-13,8.692000000000002
2019-04-14,8.698
2019-04-15,8.089
2019-04-16,7.738999999999999
2019-04-17,7.764
2019-04-18,7.7109999999999985
2019-04-19,7.652999999999998
